  n  |  eta  |  batch size  |  nb epochs  |  dropout  || accuracy
 1 | 0.001 | 20 | 10 | 0.2 || 0.566 
 2 | 0.001 | 20 | 10 | 0.2 || 0.566 
 3 | 0.001 | 20 | 10 | 0.2 || 0.566 
 4 | 0.001 | 20 | 30 | 0.2 || 0.655 
 5 | 0.001 | 20 | 30 | 0.2 || 0.655 
 6 | 0.001 | 20 | 30 | 0.2 || 0.655 
 7 | 0.001 | 20 | 50 | 0.2 || 0.704 
 8 | 0.001 | 20 | 50 | 0.2 || 0.704 
 9 | 0.001 | 20 | 50 | 0.2 || 0.704 
 10 | 0.001 | 20 | 50 | 0.2 || 0.704 
 11 | 0.001 | 20 | 50 | 0.2 || 0.704 
 12 | 0.001 | 20 | 50 | 0.2 || 0.704 
 13 | 0.001 | 20 | 50 | 0.2 || 0.704 
 14 | 0.001 | 20 | 50 | 0.2 || 0.704 
 15 | 0.001 | 20 | 50 | 0.2 || 0.704 
 16 | 0.001 | 20 | 50 | 0.2 || 0.704 
 17 | 0.001 | 20 | 50 | 0.2 || 0.704 
 18 | 0.001 | 20 | 50 | 0.2 || 0.704 
 19 | 0.001 | 20 | 50 | 0.2 || 0.704 
 20 | 0.001 | 20 | 50 | 0.2 || 0.704 
 21 | 0.001 | 20 | 50 | 0.2 || 0.704 
 22 | 0.001 | 20 | 50 | 0.2 || 0.704 
 23 | 0.001 | 20 | 50 | 0.2 || 0.704 
 24 | 0.001 | 20 | 50 | 0.2 || 0.704 
 25 | 0.001 | 20 | 50 | 0.2 || 0.704 
 26 | 0.001 | 20 | 50 | 0.2 || 0.704 
 27 | 0.001 | 20 | 50 | 0.2 || 0.704 
 28 | 0.01 | 20 | 10 | 0.2 || 0.736 
 29 | 0.01 | 20 | 10 | 0.2 || 0.736 
 30 | 0.01 | 20 | 10 | 0.2 || 0.736 
 31 | 0.01 | 20 | 30 | 0.2 || 0.794 
 32 | 0.01 | 20 | 30 | 0.5 || 0.801 
 33 | 0.01 | 20 | 30 | 0.5 || 0.801 
 34 | 0.01 | 20 | 50 | 0.2 || 0.827 
 35 | 0.01 | 20 | 50 | 0.2 || 0.827 
 36 | 0.01 | 20 | 50 | 0.2 || 0.827 
 37 | 0.01 | 20 | 50 | 0.2 || 0.827 
 38 | 0.01 | 20 | 50 | 0.2 || 0.827 
 39 | 0.01 | 20 | 50 | 0.2 || 0.827 
 40 | 0.01 | 20 | 50 | 0.2 || 0.827 
 41 | 0.01 | 20 | 50 | 0.2 || 0.827 
 42 | 0.01 | 20 | 50 | 0.2 || 0.827 
 43 | 0.01 | 20 | 50 | 0.2 || 0.827 
 44 | 0.01 | 20 | 50 | 0.2 || 0.827 
 45 | 0.01 | 20 | 50 | 0.2 || 0.827 
 46 | 0.01 | 20 | 50 | 0.2 || 0.827 
 47 | 0.01 | 20 | 50 | 0.2 || 0.827 
 48 | 0.01 | 20 | 50 | 0.2 || 0.827 
 49 | 0.01 | 20 | 50 | 0.2 || 0.827 
 50 | 0.01 | 20 | 50 | 0.2 || 0.827 
 51 | 0.01 | 20 | 50 | 0.2 || 0.827 
 52 | 0.01 | 20 | 50 | 0.2 || 0.827 
 53 | 0.01 | 20 | 50 | 0.2 || 0.827 
 54 | 0.01 | 20 | 50 | 0.2 || 0.827 
 55 | 0.01 | 20 | 50 | 0.2 || 0.827 
 56 | 0.01 | 20 | 50 | 0.2 || 0.827 
 57 | 0.01 | 20 | 50 | 0.2 || 0.827 
 58 | 0.01 | 20 | 50 | 0.2 || 0.827 
 59 | 0.01 | 20 | 50 | 0.2 || 0.827 
 60 | 0.01 | 20 | 50 | 0.2 || 0.827 
 61 | 0.01 | 20 | 50 | 0.2 || 0.827 
 62 | 0.01 | 20 | 50 | 0.2 || 0.827 
 63 | 0.01 | 20 | 50 | 0.2 || 0.827 
 64 | 0.01 | 20 | 50 | 0.2 || 0.827 
 65 | 0.01 | 20 | 50 | 0.2 || 0.827 
 66 | 0.01 | 20 | 50 | 0.2 || 0.827 
 67 | 0.01 | 20 | 50 | 0.2 || 0.827 
 68 | 0.01 | 20 | 50 | 0.2 || 0.827 
 69 | 0.01 | 20 | 50 | 0.2 || 0.827 
 70 | 0.01 | 20 | 50 | 0.2 || 0.827 
 71 | 0.01 | 20 | 50 | 0.2 || 0.827 
 72 | 0.01 | 20 | 50 | 0.2 || 0.827 
 73 | 0.01 | 20 | 50 | 0.2 || 0.827 
 74 | 0.01 | 20 | 50 | 0.2 || 0.827 
 75 | 0.01 | 20 | 50 | 0.2 || 0.827 
 76 | 0.01 | 20 | 50 | 0.2 || 0.827 
 77 | 0.01 | 20 | 50 | 0.2 || 0.827 
 78 | 0.01 | 20 | 50 | 0.2 || 0.827 
 79 | 0.01 | 20 | 50 | 0.2 || 0.827 
 80 | 0.01 | 20 | 50 | 0.2 || 0.827 
 81 | 0.01 | 20 | 50 | 0.2 || 0.827 
